ID,Date,Element,Data_Value
RSM00020891,2007-06-30,TMAX,192
RSM00020891,2012-03-30,TMIN,-169
RSM00020891,2006-03-18,TMAX,-231
RSM00020891,2006-03-18,TMIN,-284
RSM00020891,2012-03-30,TMAX,-91
RSM00020891,2006-05-31,TMAX,32
RSM00020891,2009-09-12,TMAX,104
RSM00020891,2009-09-12,TMIN,54
RSM00020891,2008-07-14,TMAX,138
RSM00020891,2008-07-14,TMIN,81
RSM00020891,2006-05-31,TMIN,-15
RSM00020891,2015-08-05,TMAX,84
RSM00020891,2008-03-26,TMAX,-94
RSM00020891,2008-03-26,TMIN,-197
RSM00020891,2006-04-29,TMIN,-229
RSM00020891,2012-09-07,TMAX,158
RSM00020891,2006-04-29,TMAX,-116
RSM00020891,2012-06-20,TMIN,72
RSM00020891,2005-11-30,TMAX,-291
RSM00020891,2005-11-30,TMIN,-334
RSM00020891,2014-01-14,TMAX,-389
RSM00020891,2014-01-14,TMIN,-413
RSM00020891,2006-12-24,TMIN,-212
RSM00020891,2006-12-24,TMAX,-132
RSM00020891,2012-05-20,TMAX,-19
RSM00020891,2012-05-20,TMIN,-78
RSM00020891,2013-01-10,TMIN,-286
RSM00020891,2013-01-10,TMAX,-162
RSM00020891,2007-10-12,TMAX,12
RSM00020891,2011-09-02,TMAX,91
RSM00020891,2011-09-02,TMIN,7
RSM00020891,2012-06-20,TMAX,120
RSM00020891,2012-09-07,TMIN,30
RSM00020891,2014-06-17,TMIN,61
RSM00020891,2014-06-17,TMAX,285
RSM00020891,2009-04-05,TMAX,-22
RSM00020891,2008-05-22,TMIN,-82
RSM00020891,2008-05-22,TMAX,-10
RSM00020891,2009-06-06,TMIN,22
RSM00020891,2009-06-06,TMAX,93
RSM00020891,2012-11-08,TMAX,-160
RSM00020891,2012-11-08,TMIN,-206
RSM00020891,2011-03-20,TMIN,-178
RSM00020891,2011-03-20,TMAX,-78
RSM00020891,2013-10-27,TMIN,-151
RSM00020891,2014-10-08,TMIN,-151
RSM00020891,2013-06-15,TMIN,73
RSM00020891,2013-06-15,TMAX,288
RSM00020891,2011-04-14,TMAX,-42
RSM00020891,2011-04-14,TMIN,-96
RSM00020891,2009-04-16,TMAX,-139
RSM00020891,2009-04-16,TMIN,-232
RSM00020891,2006-11-07,TMIN,-325
RSM00020891,2010-07-11,TMAX,222
RSM00020891,2011-07-01,TMAX,184
RSM00020891,2011-07-01,TMIN,89
RSM00020891,2006-11-07,TMAX,-276
RSM00020891,2010-07-11,TMIN,121
RSM00020891,2007-10-12,TMIN,-45
RSM00020891,2015-07-01,TMAX,87
RSM00020891,2005-09-09,TMIN,60
RSM00020891,2005-09-09,TMAX,149
RSM00020891,2015-05-27,TMAX,8
RSM00020891,2013-02-28,TMIN,-396
RSM00020891,2013-02-28,TMAX,-212
RSM00020891,2013-10-27,TMAX,-72
RSM00020891,2015-07-01,TMIN,22
RSM00020891,2006-02-03,TMAX,-265
RSM00020891,2013-08-12,TMAX,242
RSM00020891,2007-02-11,TMAX,-448
RSM00020891,2008-03-09,TMIN,-325
RSM00020891,2008-03-09,TMAX,-287
RSM00020891,2010-05-08,TMAX,77
RSM00020891,2012-11-09,TMAX,-197
RSM00020891,2014-01-15,TMIN,-404
RSM00020891,2015-01-03,TMIN,-487
